?Format,Metric,Year,Number of Records,Value (Actual)
CD,Units,1973,1,
CD,Units,1974,1,
CD,Units,1975,1,
CD,Units,1976,1,
CD,Units,1977,1,
CD,Units,1978,1,
CD,Units,1979,1,
CD,Units,1980,1,
CD,Units,1981,1,
CD,Units,1982,1,
CD,Units,1983,1,0.8
CD,Units,1984,1,5.8
CD,Units,1985,1,22.6
CD,Units,1986,1,53
CD,Units,1987,1,102.1
CD,Units,1988,1,149.7
CD,Units,1989,1,207.2
CD,Units,1990,1,286.5
CD,Units,1991,1,333.3
CD,Units,1992,1,407.5
CD,Units,1993,1,495.4
CD,Units,1994,1,662.1
CD,Units,1995,1,722.9
CD,Units,1996,1,778.9
CD,Units,1997,1,753.1
CD,Units,1998,1,847
CD,Units,1999,1,938.9
CD,Units,2000,1,942.5
CD,Units,2001,1,881.9
CD,Units,2002,1,803.3
CD,Units,2003,1,746
CD,Units,2004,1,767
CD,Units,2005,1,705.4
CD,Units,2006,1,619.7
CD,Units,2007,1,499.7
CD,Units,2008,1,368.4
CD,Units,2009,1,296.6
CD,Units,2010,1,253
CD,Units,2011,1,240.8
CD,Units,2012,1,198.1643872
CD,Units,2013,1,173.7933029
CD,Units,2014,1,138.7023634
CD,Units,2015,1,117.1440518
CD,Units,2016,1,97.5770712
CD,Units,2017,1,87.68249997
CD,Units,2018,1,51.95427564
CD,Units,2019,1,46.50649558
CD Single,Units,1973,1,
CD Single,Units,1974,1,
CD Single,Units,1975,1,
CD Single,Units,1976,1,
CD Single,Units,1977,1,
CD Single,Units,1978,1,
CD Single,Units,1979,1,
CD Single,Units,1980,1,
CD Single,Units,1981,1,
CD Single,Units,1982,1,
CD Single,Units,1983,1,
CD Single,Units,1984,1,
CD Single,Units,1985,1,
CD Single,Units,1986,1,
CD Single,Units,1987,1,
CD Single,Units,1988,1,1.6
CD Single,Units,1989,1,-0.1
CD Single,Units,1990,1,1.1
CD Single,Units,1991,1,5.7
CD Single,Units,1992,1,7.3
CD Single,Units,1993,1,7.8
CD Single,Units,1994,1,9.3
CD Single,Units,1995,1,21.5
CD Single,Units,1996,1,43.2
CD Single,Units,1997,1,66.7
CD Single,Units,1998,1,56
CD Single,Units,1999,1,55.9
CD Single,Units,2000,1,34.2
